PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
新光影城 2 廳	2014/11/19	14:30	100	影迷嘉年華	鬥志零分女挫兵	Zero Motivation	輔 PG		138
新光影城 2 廳	2014/11/19	16:50	90	影壇新世代	妹妹的守護者	Next To Her	輔 PG		148
新光影城 2 廳	2014/11/19	19:00	120	電影學院	金馬電影學院成果放映暨結業			◎	87
新光影城 2 廳	2014/11/19	21:40	93	午夜特快車	愛噬你	Over Your Dead Body	限 R		192
喜滿客京華影城 4 廳	2014/11/20	10:40	117	金馬獎入圍影片	無人區	No Man's Land	護 P		66
喜滿客京華影城 4 廳	2014/11/20	13:10	134	金馬獎入圍影片	掃毒	The White Storm	限 R		56
喜滿客京華影城 4 廳	2014/11/20	16:20	110	金馬獎入圍影片	寒蟬效應	(Sex) Apeal	輔 PG		75
喜滿客京華影城 4 廳	2014/11/20	19:10	120	金馬獎入圍影片	那夜凌晨，我坐上了旺角開往大埔的紅 VAN	The Midnight After	輔 PG		57
喜滿客京華影城 5 廳	2014/11/20	12:50	94	台灣製造	台灣短打 2 - 跳下去，活下來 + 春風 + 不即不離	Taiwan Shorts 2 - Jump Off Or Live On + Spring Breeze + Absent Without Leave	護 P		94,95
喜滿客京華影城 5 廳	2014/11/20	15:00	200	作者相對論	荒唐小鎮殺人事件	Li'l Quinquin	輔 PG		120
喜滿客京華影城 5 廳	2014/11/20	19:00	105	金馬獎入圍影片	一個勺子	A Fool	普 G		52
喜滿客京華影城 5 廳	2014/11/20	21:20	128	不設防地帶	寂寞飛行	Bird People	護 P		175
喜滿客京華影城 8 廳	2014/11/20	12:40	184	金馬獎入圍影片	KANO	KANO	普 G		71
喜滿客京華影城 8 廳	2014/11/20	19:30	108	閉幕片	一代宗師 (北美版)	The Grandmaster (US Version)	護 P	★	47
喜滿客京華影城 8 廳	2014/11/20	21:20	60	導演講堂	導演講堂：王家衛			◎	6
新光影城 1 廳	2014/11/20	13:00	178	金馬獎入圍影片	黃金時代	The Golden Era	護 P		61
新光影城 1 廳	2014/11/20	19:30	100	午夜特快車	雲端仇人	Open Windows	限 R		191
新光影城 1 廳	2014/11/20	21:50	89	午夜特快車	浴血復仇路	The Salvation	限 R		187
新光影城 2 廳	2014/11/20	11:30	115	不設防地帶	離婚風暴	Gett: The Trial Of Viviane Amsalem	普 G		171
新光影城 2 廳	2014/11/20	14:00	89	動畫王國	希達的秘密花園	Aunt Hilda!	普 G		195
新光影城 2 廳	2014/11/20	16:10	121	午夜特快車	歡迎光靈	Halfway	普 G		188
新光影城 2 廳	2014/11/20	18:50	102	性別越界	禁愛風暴	The Circle	輔 PG	▲	180
新光影城 2 廳	2014/11/20	21:10	148	經典重現	巴黎，德州	Paris, Texas	護 P		213
喜滿客京華影城 5 廳	2014/11/21	14:30	89	影壇新世代	屋換心移	Self Made	輔 PG		149
喜滿客京華影城 5 廳	2014/11/21	16:40	121	午夜特快車	歡迎光靈	Halfway	普 G		188
喜滿客京華影城 5 廳	2014/11/21	19:20	83	頑童、情聖、電影狂：楚浮	野孩子	The Wild Child	護 P		225
喜滿客京華影城 8 廳	2014/11/21	22:00	98	性別越界	愛，不散	Love Is Strange	護 P		181
喜滿客京華影城 5 廳	2014/11/22	12:00	110	經典重現	你還記得杜莉貝爾嗎？	Do You Remember Dolly Bell?	輔 PG	▲	212
喜滿客京華影城 5 廳	2014/11/22	14:30	86	穿過靈慾的花園：賈曼	塞巴斯提安	Sebastiane	限 R		236
喜滿客京華影城 5 廳	2014/11/22	16:40	96	頑童、情聖、電影狂：楚浮	巫山雲	The Story Of Adele H.	輔 PG		222
喜滿客京華影城 5 廳	2014/11/22	19:00	106	頑童、情聖、電影狂：楚浮	鄰家女	The Woman Next Door	輔 PG		220
喜滿客京華影城 8 廳	2014/11/22	12:30	99	頑童、情聖、電影狂：楚浮	四百擊	The 400 Blows	護 P		227
喜滿客京華影城 8 廳	2014/11/22	14:50	105	頑童、情聖、電影狂：楚浮	夏日之戀	Jules And Jim	輔 PG		226
喜滿客京華影城 8 廳	2014/11/22	17:10	97	經典重現	青春殘酷物語	Cruel Story Of Youth	輔 PG		216
喜滿客京華影城 8 廳	2014/11/22	19:30	87	經典重現	一夜狂歡	A Hard Day's Night	輔 PG		211
喜滿客京華影城 8 廳	2014/11/22	21:40	93	經典重現	念白部分	Speaking Parts	輔 PG		215
喜滿客京華影城 5 廳	2014/11/23	13:20	90	穿過靈慾的花園：賈曼	愛德華二世	Edward II	限 R		231
喜滿客京華影城 5 廳	2014/11/23	15:30	105	頑童、情聖、電影狂：楚浮	夏日之戀	Jules And Jim	輔 PG		226
喜滿客京華影城 5 廳	2014/11/23	17:20	60	影像長河	楚浮 專題導讀			◎	8
喜滿客京華影城 5 廳	2014/11/23	19:00	106	穿過靈慾的花園：賈曼	龐克狂歡城	Jubilee	限 R		235
喜滿客京華影城 8 廳	2014/11/23	11:30	168	經典重現	巴黎，德州	Paris, Texas	護 P		213
喜滿客京華影城 8 廳	2014/11/23	14:40	114	經典重現	機遇之歌	Blind Chance	限 R		210
喜滿客京華影城 8 廳	2014/11/23	17:10	139	經典重現	純真年代	The Age Of Innocence	護 P		214
喜滿客京華影城 8 廳	2014/11/23	21:10	120	作者相對論	那時候，我只剩下勇敢	Wild	輔 PG		122
喜滿客京華影城 5 廳	2014/11/24	15:00	108	頑童、情聖、電影狂：楚浮	兩個英國女孩與歐陸	Two English Girls	限 R		224
喜滿客京華影城 5 廳	2014/11/24	17:30	106	頑童、情聖、電影狂：楚浮	鄰家女	The Woman Next Door	輔 PG		220
喜滿客京華影城 5 廳	2014/11/24	20:00	93	穿過靈慾的花園：賈曼	浮世繪	Caravaggio	限 R		234
喜滿客京華影城 5 廳	2014/11/24	21:30	60	影像長河	賈曼 專題導讀			◎	8
喜滿客京華影城 8 廳	2014/11/24	14:00	99	頑童、情聖、電影狂：楚浮	四百擊	The 400 Blows	護 P		227
喜滿客京華影城 8 廳	2014/11/24	16:20	93	經典重現	念白部分	Speaking Parts	輔 PG		215
喜滿客京華影城 8 廳	2014/11/24	19:30	110	經典重現	你還記得杜莉貝爾嗎？	Do You Remember Dolly Bell?	輔 PG	▲	212
喜滿客京華影城 8 廳	2014/11/24	22:00	97	傳奇人生	尼克凱夫：地球兩萬日	20,000 Days On Earth	普 G		203
喜滿客京華影城 5 廳	2014/11/25	16:30	106	穿過靈慾的花園：賈曼	龐克狂歡城	Jubilee	限 R		235
喜滿客京華影城 8 廳	2014/11/25	11:00	119	大師饗宴	鳥人	Birdman	限 R		108
喜滿客京華影城 8 廳	2014/11/25	13:40	105	頑童、情聖、電影狂：楚浮	夏日之戀	Jules And Jim	輔 PG		226
喜滿客京華影城 8 廳	2014/11/25	16:00	148	經典重現	巴黎，德州	Paris, Texas	護 P		213
喜滿客京華影城 8 廳	2014/11/25	19:10	115	頑童、情聖、電影狂：楚浮	日以作夜	Day For Night	護 P		223
喜滿客京華影城 8 廳	2014/11/25	21:40	95	穿過靈慾的花園：賈曼	花園	The Garden	限 R		232
喜滿客京華影城 5 廳	2014/11/26	17:30	96	頑童、情聖、電影狂：楚浮	巫山雲	The Story Of Adele H.	輔 PG		222
喜滿客京華影城 5 廳	2014/11/26	19:40	97	經典重現	青春殘酷物語	Cruel Story Of Youth	輔 PG		216
喜滿客京華影城 5 廳	2014/11/26	22:00	108	頑童、情聖、電影狂：楚浮	兩個英國女孩與歐陸	Two English Girls	限 R		224
喜滿客京華影城 8 廳	2014/11/26	11:00	145	午夜特快車	性愛成癮的女人導演加長版 (上)	Nymphomaniac Volume I (Long Version)	限 R		185
喜滿客京華影城 8 廳	2014/11/26	14:00	180	午夜特快車	性愛成癮的女人導演加長版 (下)	Nymphomaniac Volume II (Long Version)	限 R		185
喜滿客京華影城 8 廳	2014/11/26	17:40	114	經典重現	機遇之歌	Blind Chance	限 R		210
喜滿客京華影城 8 廳	2014/11/26	20:10	79	穿過靈慾的花園：賈曼	藍	Blue	普 G		230
喜滿客京華影城 8 廳	2014/11/26	22:10	87	穿過靈慾的花園：賈曼	英倫末路	The Last Of England	限 R		233
喜滿客京華影城 5 廳	2014/11/27	17:00	86	穿過靈慾的花園：賈曼	塞巴斯提安	Sebastiane	限 R		236
喜滿客京華影城 5 廳	2014/11/27	19:10	90	穿過靈慾的花園：賈曼	愛德華二世	Edward II	限 R		231
喜滿客京華影城 5 廳	2014/11/27	21:20	93	穿過靈慾的花園：賈曼	浮世繪	Caravaggio	限 R		234
喜滿客京華影城 8 廳	2014/11/27	16:30	115	頑童、情聖、電影狂：楚浮	日以作夜	Day For Night	護 P		223
喜滿客京華影城 8 廳	2014/11/27	19:00	79	穿過靈慾的花園：賈曼	藍	Blue	普 G		230
喜滿客京華影城 8 廳	2014/11/27	21:00	131	頑童、情聖、電影狂：楚浮	最後地下鐵	The Last Metro	輔 PG		221
